Cocaine,"29,911"
Heroin,"4,062"
Methadone,"3,390"
"Natural, semi-synthetic, synthetic opioids","10,180"
Natural and semi-synthetic opioids ,"13,125"
"Natural, semi-synthetic, and synthetic opioids, incl. methadone ","79,759"
